disti_item_number,maker_name,maker_knird_id,drink_name,format,size_format_id,drink_cost,drink_price,distributor_id,disti_item_number,disti_upc,min_quantity,regular_case_cost,current_case_cost,,,,,,,,,,
91055,Logsdon,64,Seizoen,375ml,2, 4.54 , 6.59 ,5,91055,6-10097-22215-7,12,54.52,54.52,,,,,,,,,,
91065,Logsdon,64,Straffe Drieling Tripel,375ml,2, 4.89 , 7.10 ,5,91065,6-10097-20618-8,12,58.72,58.72,,,,,,,,,,
19555,Logsdon,64,Belgian Quad,1/6bbl,6, 180.00 , 261.00 ,5,19555,,1,180,180,,,,,,,,,,
19551,Logsdon,64,Belgian Stout,1/6bbl,6, 145.00 , 210.25 ,5,19551,,1,145,145,,,,,,,,,,
19513,Logsdon,64,Cerasus,1/6bbl,6, 190.00 , 275.50 ,5,19513,,1,190,190,,,,,,,,,,
19534,Logsdon,64,Conversion NW SourAle,1/6bbl,6, 190.00 , 275.50 ,5,19534,,1,190,190,,,,,,,,,,
19516,Logsdon,64,Far West Vlaming,1/6bbl,6, 185.00 , 268.25 ,5,19516,,1,185,185,,,,,,,,,,
19547,Logsdon,64,Szech 'n' Brett,1/6bbl,6, 160.00 , 232.00 ,5,19547,,1,160,160,,,,,,,,,,
19518,Logsdon,64,Kili Wit,30Ltr,7, 135.00 , 195.75 ,5,19518,,1,135,135,,,,,,,,,,
19595,Logsdon,64,Shlipis F'Alt -,30Ltr,7, 140.00 , 203.00 ,5,19595,,1,140,140,,,,,,,,,,
19520,Logsdon,64,Seizoen,30Ltr,7, 155.00 , 224.75 ,5,19520,,1,155,155,,,,,,,,,,
19585,Logsdon,64,Rood Wilde Kalf,30Ltr,7, 165.00 , 239.25 ,5,19585,,1,165,165,,,,,,,,,,
19580,Logsdon,64,Far East Seizoen,30Ltr,7, 165.00 , 239.25 ,5,19580,,1,165,165,,,,,,,,,,
19526,Logsdon,64,Peche 'n' Brett,30Ltr,7, 265.00 , 384.25 ,5,19526,,1,265,265,,,,,,,,,,
19523,Logsdon,64,Seizoen Bretta,30Ltr,7, 180.00 , 261.00 ,5,19523,,1,180,180,,,,,,,,,,
19548,Logsdon,64,Szech 'n' Brett,30Ltr,7, 205.00 , 297.25 ,5,19548,,1,205,205,,,,,,,,,,
91020,Logsdon,64,Aberrant,750ml,12, 6.99 , 10.14 ,5,91020,6-10097-20613-3,12,83.92,83.92,,,,,,,,,,
91025,Logsdon,64,Far West Vlaming,750ml,12, 13.99 , 20.29 ,5,91025,6-10097-20247-0,12,167.9,167.9,,,,,,,,,,
91029,Logsdon,64,Fresh Hop Seizoen,750ml,12, 10.99 , 15.94 ,5,91029,6-10097-30066-4,12,131.88,131.88,,,,,,,,,,
91035,Logsdon,64,Kili Wit,750ml,12, 6.99 , 10.14 ,5,91035,6-10097-20610-2,12,83.92,83.92,,,,,,,,,,
91040,Logsdon,64,Kriek Vier,750ml,12, 13.99 , 20.29 ,5,91040,6-10097-20068-1,12,167.9,167.9,,,,,,,,,,
19000,Logsdon,64,Szech 'n' Brett,750ml,12, 8.39 , 12.17 ,5,19000,7-36211-62896-1,12,100.72,100.72,,,,,,,,,,
91050,Logsdon,64,Oak-Aged Bretta,750ml,12, 13.99 , 20.29 ,5,91050,6-10097-22212-6,12,167.9,167.9,,,,,,,,,,
19006,Logsdon,64,The Conversion Series,750ml,12, 10.99 , 15.94 ,5,19006,7-36211-62876-3,12,131.88,131.88,,,,,,,,,,
91060,Logsdon,64,Seizoen,750ml,12, 7.69 , 11.15 ,5,91060,6-10097-22212-6,12,92.31,92.31,,,,,,,,,,
91060,Logsdon,64,Seizoen Bretta,750ml,12, 8.39 , 12.17 ,5,91060,6-10097-20619-5,12,100.72,100.72,,,,,,,,,,
91021,Logsdon,64,Cerasus,750ml,12, 13.99 , 20.29 ,5,91021,6-10097-22213-3,12,167.9,167.9,,,,,,,,,,
91045,Logsdon,64,Peche 'n' Brett,750ml,12, 13.99 , 20.29 ,5,91045,6-10097-22211-9,12,167.9,167.9,,,,,,,,,,
91066,Logsdon,64,Straffe Drieling Tripel,750ml,12, 8.39 , 12.17 ,5,91066,6-10097-22218-8,12,100.72,100.72,,,,,,,,,,
40100,Red Tank,80,Happy Cider,16oz cans,3, 2.65 , 3.85 ,5,40100,8-56757-00236-7,24,63.67,63.67,,,,,,,,,,
40131,Red Tank,80,Roughneck Cider,16oz cans,3, 2.65 , 3.85 ,5,40131,8-56757-00231-2,24,63.67,63.67,,,,,,,,,,
25523,Red Tank,80,Eldercherry Cider,1/6bbl,6, 90.00 , 130.50 ,5,25523,,1,90,90,,,,,,,,,,
25502,Red Tank,80,Happy Cider,1/6bbl,6, 80.00 , 116.00 ,5,25502,,1,80,80,,,,,,,,,,
25534,Red Tank,80,Hawaii 5-0,1/6bbl,6, 90.00 , 130.50 ,5,25534,,1,90,90,,,,,,,,,,
25522,Red Tank,80,Lemon & Cherry,1/6bbl,6, 95.00 , 137.75 ,5,25522,,1,95,95,,,,,,,,,,
25514,Red Tank,80,Mountain Raspberry Cider,1/6bbl,6, 95.00 , 137.75 ,5,25514,,1,95,95,,,,,,,,,,
25539,Red Tank,80,Pear Bear,1/6bbl,6, 90.00 , 130.50 ,5,25539,,1,90,90,,,,,,,,,,
25506,Red Tank,80,Roughneck Cider,1/6bbl,6, 80.00 , 116.00 ,5,25506,,1,80,80,,,,,,,,,,
25525,Red Tank,80,The Chops,1/6bbl,6, 90.00 , 130.50 ,5,25525,,1,90,90,,,,,,,,,,
25545,Red Tank,80,Way Too Cool,1/6bbl,6, 105.00 , 152.25 ,5,25545,,1,105,105,,,,,,,,,,
25510,Red Tank,80,White Cherry Cider,1/6bbl,6, 95.00 , 137.75 ,5,25510,,1,95,95,,,,,,,,,,
25504,Red Tank,80,Happy Cider,1/2bbl,9, 198.00 , 287.10 ,5,25504,,1,198,198,,,,,,,,,,
25526,Red Tank,80,The Chops,1/2bbl,9, 210.00 , 304.50 ,5,25526,,1,210,210,,,,,,,,,,
25524,Red Tank,80,Eldercherry Cider,1/2bbl,9, 210.00 , 304.50 ,5,25524,,1,210,210,,,,,,,,,,
25535,Red Tank,80,Hawaii 5-0,1/2bbl,9, 210.00 , 304.50 ,5,25535,,1,210,210,,,,,,,,,,
25521,Red Tank,80,Lemon & Cherry,1/2bbl,9, 195.00 , 282.75 ,5,25521,,1,195,195,,,,,,,,,,
25516,Red Tank,80,Mountain Raspberry Cider,1/2bbl,9, 215.00 , 311.75 ,5,25516,,1,215,215,,,,,,,,,,
25540,Red Tank,80,Pear Bear,1/2bbl,9, 210.00 , 304.50 ,5,25540,,1,210,210,,,,,,,,,,
25508,Red Tank,80,Roughneck Cider,1/2bbl,9, 198.00 , 287.10 ,5,25508,,1,198,198,,,,,,,,,,
25512,Red Tank,80,White Cherry Cider,1/2bbl,9, 215.00 , 311.75 ,5,25512,,1,215,215,,,,,,,,,,
31006,Upright,99,Upright Five,1/6bbl,6, 112.00 , 162.40 ,5,31006,,1,112,112,,,,,,,,,,
31024,Upright,99,Upright Engelberg Pilsener,1/6bbl,6, 120.00 , 174.00 ,5,31024,,1,120,120,,,,,,,,,,
31002,Upright,99,Upright Four,1/6bbl,6, 112.00 , 162.40 ,5,31002,,1,112,112,,,,,,,,,,
31012,Upright,99,Upright Seven,1/6bbl,6, 112.00 , 162.40 ,5,31012,,1,112,112,,,,,,,,,,
31010,Upright,99,Upright Six,1/6bbl,6, 112.00 , 162.40 ,5,31010,,1,112,112,,,,,,,,,,
74001,Upright,99,Four Wheat,750ml,12, 6.99 , 10.14 ,5,74001,6-53792-00930-2,12,83.92,83.92,,,,,,,,,,
74013,Upright,99,Gose,750ml,12, 6.99 , 10.14 ,5,74013,6-53792-00502-1,12,83.92,83.92,,,,,,,,,,
74005,Upright,99,Late Harvest Ale,750ml,12, 10.49 , 15.21 ,5,74005,6-53792-00318-8,12,125.88,125.88,,,,,,,,,,
